"Guid","AccountSource","AnnualRevenue","BillingCity","BillingCountry","BillingEmail__c","BillingGeocodeAccuracy","BillingLatitude","BillingLongitude","BillingPostalCode","BillingState","BillingStreet","CorporateLocations__c","Custom_Account_Picklist__c","Description","Fax","FranchiseLocations__c","Industry","IsCustomerPortal","Jigsaw","Name","New_Cool_Picklist__c","NumberOfEmployees","ParentId","Phone","SBQQ__AssetQuantitiesCombined__c","SBQQ__CoTermedContractsCombined__c","SBQQ__CoTerminationEvent__c","SBQQ__ContractCoTermination__c","SBQQ__DefaultOpportunity__c","SBQQ__IgnoreParentContractedPrices__c","SBQQ__PreserveBundle__c","SBQQ__PriceHoldEnd__c","SBQQ__RenewalModel__c","SBQQ__RenewalPricingMethod__c","SBQQ__TaxExempt__c","ShippingCity","ShippingCountry","ShippingGeocodeAccuracy","ShippingLatitude","ShippingLongitude","ShippingPostalCode","ShippingState","ShippingStreet","SicDesc","TaxID__c","Test_Field__c","Type","Website","blng__BillToContact__c","blng__CustomerProfileId__c","blng__DefaultPaymentType__c","ccrz__CustomField1__c","ccrz__CustomField2__c","ccrz__DataId__c","ccrz__PreventAddrBookSave__c","ccrz__PreventNewAddrCheckout__c","ccrz__PreventNewBillAddrCO__c","ccrz__SourceSystem__c","ccrz__TaxExemptAccount__c","ccrz__UsedByCloudcraze__c"
00a6e445-c314-426a-886c-89373dcf3f0d,"#N/A",1.01752E11,Saint Louis,United States,billing@billing.email.invalid.invalid.invalid,"#N/A","#N/A","#N/A",63121-1824,MO,1 Express Way,"#N/A","#N/A",Rhapsodic AG is the leader in Retail in Saint Louis,"#N/A","#N/A",Retail,false,"#N/A",Zoomcast,"#N/A","#N/A","#N/A",1.314.996.0900,false,false,"#N/A",Never,"#N/A",false,true,"#N/A",Contract Based,Same,No,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Prospect,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,false,false,"#N/A",false,false
02223fcd-18f8-4bd9-8e39-90a5263a9a5c,"#N/A",4.3025852E10,Irvine,United States,"#N/A","#N/A","#N/A","#N/A",92612-0697,CA,3351 Michelson Dr Ste 100,"#N/A","#N/A",Abilitech Software Solutions is the leader in Technology in Irvine,"#N/A","#N/A",Technology,false,"#N/A",Kwimbee,"#N/A","#N/A","#N/A",1.714.566.1000,false,false,"#N/A",Never,"#N/A",false,true,"#N/A",Contract Based,Same,No,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",3351 Michelson Dr Ste 100,"#N/A","#N/A","#N/A",Customer,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,false,false,"#N/A",false,false
031acca9-e346-4f91-abf1-2c0dd714d175,"#N/A",7.41215097E8,Osaka,Japan,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","1006, Oaza Kadoma","#N/A","#N/A",TSM South is the leader in Healthcare,"#N/A","#N/A",Healthcare,false,"#N/A",Flipbug,"#N/A","#N/A","#N/A","#N/A",false,false,"#N/A",Never,"#N/A",false,true,"#N/A",Contract Based,Same,No,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Prospect,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,false,false,"#N/A",false,false
036c9222-40c5-428e-a02f-baebc018ca74,"#N/A",4.9892102E7,Balgowlah,Australia,"#N/A","#N/A","#N/A","#N/A",2093,NSW,2/11 Boyle St,"#N/A","#N/A",Smith and Co. is the leader in Transportation in Balgowlah,"#N/A","#N/A",Transportation,false,"#N/A",Kimia,"#N/A","#N/A","#N/A",(02) 6512 8801,false,false,"#N/A",Never,"#N/A",false,true,"#N/A",Contract Based,Same,No,Balgowlah,Australia,"#N/A","#N/A","#N/A",2093,NSW,2/11 Boyle St,"#N/A","#N/A","#N/A",Customer,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,false,false,"#N/A",false,false
04925b89-d94c-4d0c-8d61-0fc5b7c08f7e,"#N/A","#N/A",Toronto,Canada,accounting@globalmedia.com,"#N/A","#N/A","#N/A",L4B 1Y3,Ontario,150 Chestnut Street,2.0,"#N/A","GBM is the worldwide leader in technology news and information on the Web and the producer of the longest-running and farthest-reaching television shows about technology. GBM's network of sites combines breakthrough interactive technology with engaging content and design and is consistently ranked as the Internet's leading content network in terms of both audience size and revenue, serving millions of users each day. The company's television programming is broadcast by the USA Network and the Sci-Fi Channel to more than 70 million households and is syndicated to broadcast television stations in the nation's top 120 markets, including the top 10 markets.","#N/A",0.0,Corporate Office,false,"#N/A",Global Media,"#N/A",14668,"#N/A",(905) 555-1212,false,false,"#N/A","#N/A","#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",Toronto,Canada,"#N/A","#N/A","#N/A",L4B 1Y3,Ontario,150 Chestnut Street,"#N/A",12-3456789,"#N/A",Prospect,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,false,false,"#N/A",false,false
04bd9a51-7836-4051-a95b-b21b0da65809,"#N/A","#N/A","#N/A","#N/A",ap@hyatt.com.invalid.invalid,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",518.0,"#N/A","#N/A","#N/A",378.0,Hospitality,false,"#N/A",Hyatt Hotels Corporation,"#N/A",100000,"#N/A","#N/A",false,false,"#N/A",Never,"#N/A",false,true,"#N/A",Contract Based,Same,No,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",82-1533604,"#N/A",Prospect,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,false,false,"#N/A",false,false
050ef762-24a9-477a-8b99-413290e3e862,"#N/A",9351157.0,Lafayette,United States,billing@billing.email.invalid,"#N/A","#N/A","#N/A",47905,IN,0526 Hauk Plaza,"#N/A","#N/A","#N/A","#N/A","#N/A",Energy,false,"#N/A",Thoughtsphere,"#N/A","#N/A","#N/A","#N/A",false,false,"#N/A",Never,"#N/A",false,true,"#N/A",Contract Based,Same,No,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Prospect,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,false,false,"#N/A",false,false
0510b21e-ea58-4b8a-b435-c10f96520db7,"#N/A",7.6279E10,Cincinnati,United States,"#N/A","#N/A","#N/A","#N/A",45202-3393,OH,1 Procter and Gamble Plz,"#N/A","#N/A",ADM Goods is the leader in Consumer Goods in Cincinnati,"#N/A","#N/A",Consumer Goods,false,"#N/A",Voonix,"#N/A","#N/A","#N/A",1.513.983.1100,false,false,"#N/A",Never,"#N/A",false,true,"#N/A",Contract Based,Same,No,Cincinnati,US,"#N/A","#N/A","#N/A",45201-0599,OH,P.O. BOX 599,"#N/A","#N/A","#N/A",Customer,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,false,false,"#N/A",false,false
06700f96-7c41-4044-b31a-2e45801ce39b,"#N/A","#N/A","#N/A","#N/A",ap@shakeshak.com,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",168.0,"#N/A","#N/A","#N/A",0.0,Restaurant,false,"#N/A",Shake Shack,"#N/A","#N/A","#N/A","#N/A",false,false,"#N/A",Never,"#N/A",false,true,"#N/A",Contract Based,Same,No,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",12-3456789,"#N/A",Customer,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,false,false,"#N/A",false,false
06b8c27c-4ebf-40d8-9e98-5dead197c804,"#N/A",3.0944938E10,Framingham,United States,billing@billing.email.invalid.invalid.invalid,"#N/A","#N/A","#N/A",01701-4698,MA,770 Cochituate Rd Ste 1,"#N/A","#N/A",Prandial Foods is the leader in Consumer Goods in Framingham,"#N/A","#N/A",Consumer Goods,false,"#N/A",Yodel,"#N/A","#N/A","#N/A",1.508.390.1000,false,false,"#N/A",Never,"#N/A",false,true,"#N/A",Contract Based,Same,No,Framingham,US,"#N/A","#N/A","#N/A",01701-9133,MA,P.O. BOX 9133,"#N/A","#N/A","#N/A",Customer,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,false,false,"#N/A",false,false
09312b67-9469-445a-9949-532f764c5b7d,"#N/A",9.3056E10,Charlotte,United States,"#N/A","#N/A","#N/A","#N/A",28202-4031,NC,100 N Tryon St Ste 220,"#N/A","#N/A",Velso International is the leader in Manufacturing in Charlotte,"#N/A","#N/A",Manufacturing,false,"#N/A",Dynazzy,"#N/A","#N/A","#N/A",1.704.386.5681,false,false,"#N/A",Never,"#N/A",false,true,"#N/A",Contract Based,Same,No,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Customer,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,false,false,"#N/A",false,false
0b05a375-0cd9-4195-937a-a0f662e20181,"#N/A",6.8846673E7,Como,Australia,billing@billing.email.invalid.invalid.invalid,"#N/A","#N/A","#N/A",2226,NSW,67 Como Pde,"#N/A","#N/A",Megadodo Publications is the leader in Consulting in Como,"#N/A","#N/A",Consulting,false,"#N/A",Jaxspan,"#N/A","#N/A","#N/A",(02) 6849 6177,false,false,"#N/A",Never,"#N/A",false,true,"#N/A",Contract Based,Same,No,Como,Australia,"#N/A","#N/A","#N/A",2226,NSW,67 Como Pde,"#N/A","#N/A","#N/A",Prospect,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,false,false,"#N/A",false,false
0b8b172e-3801-489d-bddc-a497b29426ce,"#N/A",1.49558E11,Dearborn,United States,billing@billing.email.invalid.invalid.invalid,"#N/A","#N/A","#N/A",48126-2701,MI,1 American Rd,"#N/A","#N/A","Tension, Inc. is the leader in Energy in Dearborn","#N/A","#N/A",Energy,false,"#N/A",Gabtype,"#N/A","#N/A","#N/A",1.313.322.3000,false,false,"#N/A",Never,"#N/A",false,true,"#N/A",Contract Based,Same,No,Dearborn,US,"#N/A","#N/A","#N/A",48121-0685,MI,P.O. BOX 685,"#N/A","#N/A","#N/A",Customer,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,false,false,"#N/A",false,false
0d4424b7-f2a7-400e-b555-decf69733ec9,"#N/A",3.46761E10,New York,United States,"#N/A","#N/A","#N/A","#N/A",10017-4108,NY,708 3rd Ave Rm 1500,"#N/A","#N/A",First Response Relief Services is the leader in Non Profit in New York,"#N/A","#N/A",Non Profit,false,"#N/A",Browsetype,"#N/A","#N/A","#N/A",1.212.485.3500,false,false,"#N/A",Never,"#N/A",false,true,"#N/A",Contract Based,Same,No,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",708 3rd Ave Rm 1500,"#N/A","#N/A","#N/A",Customer,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,false,false,"#N/A",false,false
