"Guid","AccountId","Amount","CloseDate","ContactId","Description","ForecastCategoryName","LeadSource","Name","NextStep","Pricebook2Id","Probability","SBQQ__Contracted__c","SBQQ__CreateContractedPrices__c","SBQQ__OrderGroupID__c","SBQQ__Ordered__c","SBQQ__PrimaryQuote__c","SBQQ__QuotePricebookId__c","SBQQ__Renewal__c","StageName","Type","sbaa__ApprovalStatus__c","sbaa__ApprovalStep__c","sbaa__StepApproved__c","sbaa__SubmittedDate__c"
000cc3f6-bc27-4382-95c8-7b7c6de6b8b4,71150dd0-a91f-418d-a472-d243d1f5b8e8,75000.0,2022-05-12,"#N/A","#N/A",Pipeline,"#N/A",Fanoodle - Upsell,"#N/A","#N/A",10.0,false,false,"#N/A",false,"#N/A","#N/A",false,Qualification,"#N/A","#N/A","#N/A",false,"#N/A"
002afa90-369b-465c-867f-d607a9ad5751,2b5440cc-c8bf-4be2-8660-3df16ee20d6d,11250.0,2022-08-27,"#N/A","#N/A",Pipeline,"#N/A",Bluejam - Cross-sell,"#N/A","#N/A",75.0,false,false,"#N/A",false,"#N/A","#N/A",false,Proposal/Price Quote,"#N/A","#N/A","#N/A",false,"#N/A"
0044cecc-47bb-4c08-851d-5144a6172791,844b0876-fa50-400f-8979-f076607ed75f,29995.0,2022-01-17,"#N/A","#N/A",Closed,"#N/A",Layo - Additional Sale,"#N/A","#N/A",100.0,false,false,"#N/A",false,"#N/A","#N/A",false,Closed Won,"#N/A","#N/A","#N/A",false,"#N/A"
004c2fe9-c4ba-41ec-a5bb-ac19c724b4db,5904327a-cac9-45dd-8eca-02d3202e4cae,29995.0,2021-10-24,"#N/A","#N/A",Closed,"#N/A",Voomm - Additional Sale,"#N/A","#N/A",100.0,false,false,"#N/A",false,"#N/A","#N/A",false,Closed Won,"#N/A","#N/A","#N/A",false,"#N/A"
006bac43-36b5-43a4-921c-3e701c4c5b8f,120191fa-4ec4-4068-9e93-a36688ef3a11,34995.0,2022-05-10,"#N/A","#N/A",Pipeline,"#N/A",Pixoboo - Additional Sale,"#N/A","#N/A",50.0,false,false,"#N/A",false,"#N/A","#N/A",false,Value Proposition,"#N/A","#N/A","#N/A",false,"#N/A"
00942e78-c6ea-4a4d-88b7-add5176031b5,e1a29990-5029-4667-b6f5-70ecc36d25d7,29995.0,2022-03-31,"#N/A","#N/A",Closed,"#N/A",Fiveclub - Additional Sale,"#N/A","#N/A",100.0,false,false,"#N/A",false,"#N/A","#N/A",false,Closed Won,"#N/A","#N/A","#N/A",false,"#N/A"
0098e019-7ceb-46d0-b84a-d11acfd81542,408eb422-9660-40ba-be56-7dc56d66f4e9,29995.0,2022-03-31,"#N/A","#N/A",Closed,"#N/A",Fatz - Additional Sale,"#N/A","#N/A",100.0,false,false,"#N/A",false,"#N/A","#N/A",false,Closed Won,"#N/A","#N/A","#N/A",false,"#N/A"
00b11930-435c-4720-80dc-80ab2ea47359,e4975ba1-d2ad-416a-94ac-d209676e6865,75000.0,2022-05-12,"#N/A","#N/A",Pipeline,"#N/A",Dynabox - Upsell,"#N/A","#N/A",10.0,false,false,"#N/A",false,"#N/A","#N/A",false,Qualification,"#N/A","#N/A","#N/A",false,"#N/A"
00e7d11e-c5ae-43c2-9764-79d38262a074,47134bca-c589-4fa0-ada0-4ce25d02c80a,32395.00000002,2022-03-06,"#N/A","#N/A",Closed,"#N/A",Jazzy - Secondary Sale,"#N/A","#N/A",100.0,false,false,"#N/A",false,"#N/A","#N/A",false,Closed Won,"#N/A","#N/A","#N/A",false,"#N/A"
00f9186c-005e-43c9-8497-103caf39d9cf,948bf374-a1d5-49fe-bbd9-e124780f9f26,11250.0,2022-08-27,"#N/A","#N/A",Pipeline,"#N/A",Jazzy - Cross-sell,"#N/A","#N/A",75.0,false,false,"#N/A",false,"#N/A","#N/A",false,Proposal/Price Quote,"#N/A","#N/A","#N/A",false,"#N/A"
011a0e91-058c-441e-8f92-5d01749bef0c,7d1f321f-b117-4cfe-9cf7-47bdc4725cf8,72395.0,2022-03-14,"#N/A","#N/A",Pipeline,"#N/A",Browsebug - Initial Sale,"#N/A","#N/A",10.0,false,false,"#N/A",false,"#N/A","#N/A",false,Prospecting,"#N/A","#N/A","#N/A",false,"#N/A"
013f69ef-873a-4e48-8f80-b3138ec45d04,d5ae20cc-5097-4409-8114-19f096ae85bb,75995.0,2022-03-14,"#N/A","#N/A",Pipeline,"#N/A",Dynava - Initial Sale,"#N/A","#N/A",10.0,false,false,"#N/A",false,"#N/A","#N/A",false,Qualification,"#N/A","#N/A","#N/A",false,"#N/A"
01bdccbb-375d-4842-9e99-b5482981130c,4652b070-2554-495e-968e-0f6407c6be06,32395.00000002,2022-06-13,"#N/A","#N/A",Closed,"#N/A",Voolia - Secondary Sale,"#N/A","#N/A",100.0,false,false,"#N/A",false,"#N/A","#N/A",false,Closed Won,"#N/A","#N/A","#N/A",false,"#N/A"
01c6f90f-1364-4dc8-9c28-08c22287730a,7c70f22f-f2a2-4385-b670-e9f2c40df4d3,26050.0,2022-03-22,"#N/A","#N/A",Pipeline,"#N/A",Wordtune - Cross-sell,"#N/A","#N/A",75.0,false,false,"#N/A",false,"#N/A","#N/A",false,Proposal/Price Quote,"#N/A","#N/A","#N/A",false,"#N/A"
01e3b5cb-f946-4ebb-9e66-6d4d9279af31,da11c1dc-86bf-4c8b-bad3-0bedc730e872,74395.0,2022-03-14,"#N/A","#N/A",Pipeline,"#N/A",Quire - Initial Sale,"#N/A","#N/A",10.0,false,false,"#N/A",false,"#N/A","#N/A",false,Prospecting,"#N/A","#N/A","#N/A",false,"#N/A"
01fa7f91-a19f-477f-918b-8c470c756da2,fbb3dbfa-0f26-47d3-a6ca-a389bf7b6d14,11550.0,2022-08-27,"#N/A","#N/A",Pipeline,"#N/A",Aivee - Cross-sell,"#N/A","#N/A",75.0,false,false,"#N/A",false,"#N/A","#N/A",false,Proposal/Price Quote,"#N/A","#N/A","#N/A",false,"#N/A"
