"Guid","SBQQ__LookupField__c","SBQQ__MatchType__c","SBQQ__Operator__c","SBQQ__PriceRule2__c","SBQQ__ProductRule__c","SBQQ__TestedConfigurationAttribute__c","SBQQ__TestedField__c","SBQQ__TestedObject__c","SBQQ__TestedValue__c"
01ca5ea2-b8ae-4729-8543-009f173b1227,Resource_Location__c,Field Value,equals,1bab1f49-25d2-4626-a3e6-e2462c5b46b0,"#N/A","#N/A",Resource_Location__c,Quote Line,"#N/A"
02d72084-6791-438b-b402-9dc9e4439dde,Threshold_Type__c,Static Value,equals,4ea71b55-f114-460a-8cdf-0e1bb85cc56d,"#N/A","#N/A","#N/A","#N/A",Discount
04adaacf-9e55-41a5-ad36-a7b406ac64e9,Product__c,Field Value,equals,30170914-a348-447d-8cae-a0e1db3b6992,"#N/A","#N/A",SBQQ__Product__c,Quote Line,"#N/A"
057eacfb-3fe0-4f7f-ba7d-97156c7e48da,Role__c,Field Value,equals,7fc485b2-f76c-4909-b764-ea14b6151fc2,"#N/A","#N/A",SBQQ__Product__c,Quote Line,"#N/A"
0bd58b1a-6e52-4100-9189-1aeccb70fd84,Product__c,Field Value,equals,03c5153c-b222-44d1-aa81-4f64b6f89c8c,"#N/A","#N/A",SBQQ__Product__c,Quote Line,"#N/A"
0cbecdd5-bf23-47ea-adc6-b2d506d11546,Product__c,Field Value,equals,9d5b1124-4cd3-4c04-bad0-38b362a2ab22,"#N/A","#N/A",SBQQ__Product__c,Quote Line,"#N/A"
0db3352a-03da-4571-b2d2-6fb53f6c537e,Role__c,Field Value,equals,ad3abb7b-5a10-4548-95d7-eb9f06f3c73e,"#N/A","#N/A",SBQQ__Product__c,Quote Line,"#N/A"
0de4a0e4-347c-4585-b6d2-1c843cdaeffa,Product__c,Field Value,equals,7b19b162-66b3-4f68-804b-b75e25268f7d,"#N/A","#N/A",SBQQ__Product__c,Quote Line,"#N/A"
15e3bf42-d9d0-43f9-9096-22df88d3e607,Product__c,Field Value,equals,c7e37f69-7a35-4260-8e9b-3e0321622acc,"#N/A","#N/A",SBQQ__Product__c,Quote Line,"#N/A"
180d1ad2-b2bc-4f25-9ef0-2d4b6cc83679,Product__c,Field Value,equals,4f1dc555-7b6f-48be-a15b-1ab9bccc1a42,"#N/A","#N/A",SBQQ__Product__c,Quote Line,"#N/A"
19008f36-a8ff-4f7a-8fba-508bed8484da,Product__c,Field Value,equals,adb3a45a-d82b-42bb-b131-6d88b4d658ab,"#N/A","#N/A",SBQQ__Product__c,Quote Line,"#N/A"
1a218337-6848-4435-ab72-2b06d55a39ed,Lower_Bound_Percent__c,Field Value,greater or equals,9baa985c-816a-4ad5-9b02-d848e16a3856,"#N/A","#N/A",Discretionary_Discount_Decimal__c,Quote Line,"#N/A"
