"Guid","SBQQ__IsRead__c","SBQQ__JobDetails__c","SBQQ__JobId__c","SBQQ__JobStatus__c","SBQQ__RecordId__c","SBQQ__RedirectUrl__c","SBQQ__Stacktrace__c"
1e33efd3-79ee-441f-a435-9fea15adbabf,false,"#N/A",7078c000069XfM8,"#N/A",a2H8c000003Ru4OEAS::CustomScriptTranspiler,"#N/A","#N/A"
68a6d31a-426d-4118-9adb-58a9103278b1,false,"#N/A",7078c00006AaxOs,Completed,a344x0000000vWCAAY::QuoteCalculator,"#N/A","#N/A"
718c2530-cf45-4d4d-b8d5-7be0ce80ab29,false,"#N/A",7078c000069XfM8,"#N/A",a2H8c000003Ru4PEAS::CustomScriptTranspiler,"#N/A","#N/A"
77e0fada-1c2c-439a-a314-6bf41d66fc04,false,"#N/A",7078c000069XfM8,"#N/A",a2H8c000003Ru4QEAS::CustomScriptTranspiler,"#N/A","#N/A"
7933be8a-a501-44a9-9071-4fe0c777d1f5,false,"#N/A",7078c000069XZkW,"#N/A",a344x0000000vWWAAY::QuoteCalculator,"#N/A","#N/A"
8193143c-5a48-4180-b1f1-f62ce2bfc9ed,false,"#N/A","#N/A",Completed,a344x0000000vWRAAY::QuoteCalculator,"#N/A","#N/A"
821d25c0-2d33-41f5-99ea-7d15b0a2a37d,false,"#N/A","#N/A",Completed,a344x0000000vWMAAY::QuoteCalculator,"#N/A","#N/A"
95dd81bf-1eaf-4bc7-b2a9-40e1f8df9a04,false,"#N/A",7078c000069XfM8,"#N/A",a2H8c000003Ru4REAS::CustomScriptTranspiler,"#N/A","#N/A"
a7be09d2-7fce-4c26-bc8d-47e5856d5a53,false,"#N/A","#N/A",Completed,a344x0000000vW7AAI::QuoteCalculator,"#N/A","#N/A"
bff8911d-e2b1-4041-b491-687c30dc4f08,false,"#N/A",7078c00006zJicR,Completed,a348c000000F89tAAC::QuoteCalculator,"#N/A","#N/A"
c6add4f3-0c56-45e8-880b-5497ba299a1a,false,"#N/A",7078c00006Voqep,Completed,a348c000000F4K3AAK::QuoteCalculator,"#N/A","#N/A"
ce55a98f-9677-47e6-ae96-e30bfdb714e0,true,"#N/A",7078c000069XZkX,"#N/A",a344x0000000vW7AAI::QuoteDocumentService,"#N/A","#N/A"
ddf5361c-afc3-4867-a4bf-06f576b02865,false,"#N/A",7078c00006AaxOr,"#N/A",a344x0000000vMeAAI::QuoteCalculator,"#N/A","#N/A"
efd1caf4-137e-44e8-80c8-96ec405d5ef0,false,"#N/A",7078c00006AaxOt,Completed,a344x0000000vWHAAY::QuoteCalculator,"#N/A","#N/A"
